program,source_status,lesson_or_activity,representation_method,authenticity_evidence,subject_matter_review,coverage_status,notes
Agriscience - Vet Med,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Automotive - Medium Heavy Diesel,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Aviation,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Computer Science,"Verified 2026-09-12","Lessons 1–8 application step","Shared Agile concepts with six computing pathways in Lesson 1","Learners use the same evidence-based Agile decision process in authentic computing contexts","Designer review pending","Covered","Umbrella pathway"
Cybersecurity,"Proposed 2026-09-12","Lesson 1 application","Shared-device session risk scenario","Learners prioritize a security risk and propose a small testable control","Designer review pending","Pending Review","Required career choice"
Data Science,"Proposed 2026-09-12","Lesson 1 application","Stale-data dashboard scenario","Learners use data-quality evidence to prioritize a transparent dashboard increment","Designer review pending","Pending Review","Required career choice"
Artificial Intelligence,"Proposed 2026-09-12","Lesson 1 application","Incomplete AI summary scenario","Learners use evaluation evidence to prioritize accuracy testing","Designer review pending","Pending Review","Required career choice"
Software Development,"Proposed 2026-09-12","Lesson 1 application","Student Hub access scenario","Learners prioritize an accessible product increment from user-test evidence","Designer review pending","Pending Review","Required career choice"
Game Development,"Proposed 2026-09-12","Lesson 1 application","Control-remapping playtest scenario","Learners respond to access feedback with a small playable increment","Designer review pending","Pending Review","Required career choice"
Physical Computing,"Proposed 2026-09-12","Lesson 1 application","Unsafe sensor-reading scenario","Learners prioritize a testable safety improvement before a display feature","Designer review pending","Pending Review","Required career choice"
Construction Trades,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Cosmetology,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Culinary,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Education,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Forensic Science,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Health Science - Medical Careers,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Marketing - Graphic Design,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Mechatronics,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Public Safety,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
US Army JROTC,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
Welding,"Verified 2026-09-03","Not applicable","None","Module is for an introductory software-engineering course","Not needed","Out of scope","Revisit only if module will be assigned across programs"
